,epochs,training losses
0,1,5.905835783673204
1,2,1.42804403347132
2,3,0.8357525008017056
3,4,0.7473214807718513
4,5,0.5897801686565545
5,6,0.5187477370071892
6,7,0.4310286507841694
7,8,0.3954346455866104
8,9,0.34123569225855443
9,10,0.32007317968227117
10,11,0.28465655462959005
11,12,0.26796931771780463
12,13,0.2455341902218367
13,14,0.2314745447273477
14,15,0.21415124062226842
15,16,0.20589738300206945
16,17,0.19152121210169648
17,18,0.18250827053828905
18,19,0.1720642877506075
19,20,0.1614862188950458
20,21,0.1540442154332737
21,22,0.14659769266721692
22,23,0.13987892808136113
23,24,0.13358387257346135
24,25,0.12854897731130258
25,26,0.12257066436212896
26,27,0.1176529189450223
27,28,0.11217469206620495
28,29,0.10677536193068908
29,30,0.10334385336830794
30,31,0.09970050370523204
31,32,0.09518244411952481
32,33,0.09237127797252516
33,34,0.08768877995092149
34,35,0.08546131269655842
35,36,0.08279957813191707
36,37,0.08004513237445729
37,38,0.07667502714981425
38,39,0.0748600947532393
39,40,0.07229732979456502
40,41,0.07055662565809148
41,42,0.06876025900357423
42,43,0.06633864374161517
43,44,0.06610696279439984
44,45,0.06380821180257217
45,46,0.06228144097459211
46,47,0.06159016909943632
47,48,0.05863287746659728
48,49,0.059099045829548655
49,50,0.056983873546898385
50,51,0.05613152614113424
51,52,0.054718620115359835
52,53,0.054408493109242305
53,54,0.053416698456651174
54,55,0.05173392356054906
55,56,0.05138840197899291
56,57,0.05083294954530136
57,58,0.049489817202556144
58,59,0.049462881886711114
59,60,0.048035157019060526
60,61,0.047835041082904727
61,62,0.046623915921118295
62,63,0.04628051597868047
63,64,0.04514196016108092
64,65,0.04531725132770383
65,66,0.044170539319548105
66,67,0.04382253070636349
67,68,0.04277998294471154
68,69,0.04268004728808149
69,70,0.041874331472341174
70,71,0.04153348612806003
71,72,0.04099496357845013
72,73,0.04026471302347663
73,74,0.03989779844051218
74,75,0.03958096727317923
75,76,0.038666665757158894
76,77,0.03835602273699043
77,78,0.03826855140830059
78,79,0.03794307451521443
79,80,0.03745390665375478
80,81,0.03714964149465207
81,82,0.03662915833604343
82,83,0.0363730211092674
83,84,0.03604082998359125
84,85,0.03511566677084677
85,86,0.03530049216227645
86,87,0.034567868202605385
87,88,0.034568527204756797
88,89,0.03374328548801911
89,90,0.034149374980438386
90,91,0.033708814086889735
91,92,0.03333031180089594
92,93,0.03293041513045194
93,94,0.032944817465236614
94,95,0.03236682949575375
95,96,0.03240671482646302
96,97,0.03180165308461021
97,98,0.03134478485634978
98,99,0.0317928121327471
99,100,0.030860676111702172
