,epochs,training losses
0,1,0.005373828737252614
1,2,0.005355696689089523
2,3,0.005349488549464996
3,4,0.005358333255008624
4,5,0.005350092749598641
5,6,0.005347138540905788
6,7,0.005343783956782275
7,8,0.005325918402393052
8,9,0.0053162214922900354
9,10,0.005315804099173922
10,11,0.005305989315061493
11,12,0.005308519395993844
12,13,0.005298588744684731
13,14,0.005299118449969142
14,15,0.005298982569645087
15,16,0.005310724154345392
16,17,0.005298763621258247
17,18,0.005302038870250154
18,19,0.005287804733313067
19,20,0.005288006097435859
20,21,0.005335995408521832
21,22,0.005307061599074479
22,23,0.005284827342401072
23,24,0.00529790911174757
24,25,0.005284335073617059
25,26,0.005283594989699337
26,27,0.005283488587536863
27,28,0.005294842274510662
28,29,0.005308505025657684
29,30,0.005291393572672187
30,31,0.0052892222967367885
31,32,0.005280252292841649
32,33,0.005302257479194425
33,34,0.005289157958493652
34,35,0.00527947129661523
35,36,0.005280590652208487
36,37,0.005285106250084937
37,38,0.005282018977381727
38,39,0.005287713841347733
39,40,0.00527867702579835
40,41,0.005284150029696962
41,42,0.005278018113635134
42,43,0.005293673035925133
43,44,0.005280450570769032
44,45,0.005288772598621162
45,46,0.005275852554737253
46,47,0.005285553482790757
47,48,0.005288617849571993
48,49,0.0052803230045173006
49,50,0.00527599330331219
50,51,0.005279865687000839
51,52,0.005271879665051867
52,53,0.005297564749458903
53,54,0.0052767316105807255
54,55,0.005281720895914148
55,56,0.005282231878082703
56,57,0.0052872048518634845
57,58,0.005274796222074205
58,59,0.00527582127606675
59,60,0.005283627031881351
60,61,0.00527591814161581
61,62,0.005279899694547403
62,63,0.00527900785147198
63,64,0.0052694078155680795
64,65,0.005275627221889079
65,66,0.005290405371517589
66,67,0.005275824641226431
67,68,0.005271794926014732
68,69,0.00527403210700654
69,70,0.005279681168859911
70,71,0.005278385627146914
71,72,0.005273877414543147
72,73,0.005268993681143888
73,74,0.005271298290250517
74,75,0.005270605819694837
75,76,0.005274490317641167
76,77,0.0052742257958635595
77,78,0.005280479860647751
78,79,0.00528091146313692
79,80,0.005278191769109237
80,81,0.005286573860924057
81,82,0.005278300495397288
82,83,0.005274745164909068
83,84,0.005273696508304715
84,85,0.0052743417315398436
85,86,0.005270745681999568
86,87,0.0052686343164163015
87,88,0.005277669281863114
88,89,0.005276887621817067
89,90,0.005268297758855895
90,91,0.005273550925142025
91,92,0.005277775315316999
92,93,0.005285539415566937
93,94,0.005287521823248812
94,95,0.005271163780455572
95,96,0.0052852661216966
96,97,0.005279127105669732
97,98,0.0052712195241483555
98,99,0.005269480527424752
99,100,0.00526957872767728
