,epochs,training losses
0,1,0.013712113636925264
1,2,0.013249518867168162
2,3,0.013179527854339944
3,4,0.013078164964638374
4,5,0.012992759235203266
5,6,0.013001668836093612
6,7,0.013012576486087508
7,8,0.012999402997256429
8,9,0.012935067182061848
9,10,0.012830645415104099
10,11,0.012813097366166336
11,12,0.012844431076060843
12,13,0.012744655211766561
13,14,0.012815965305048006
14,15,0.0127703455897669
15,16,0.012738074900375472
16,17,0.012781595086885823
17,18,0.01258213323092571
18,19,0.012613841315248498
19,20,0.012530388034604214
20,21,0.012565719032729114
21,22,0.012893702231209588
22,23,0.013294879709266953
23,24,0.012768465680656609
24,25,0.012951044520984093
25,26,0.012682420908714886
26,27,0.01278722670826095
27,28,0.01266910047787759
28,29,0.012601722600973315
29,30,0.01243378575546322
30,31,0.012476619971157224
31,32,0.012543044380705666
32,33,0.012627418118494528
33,34,0.012794745672080252
34,35,0.012567270202217278
35,36,0.012648303199697423
36,37,0.012506838818943058
37,38,0.012511094618174765
38,39,0.012492527219432371
39,40,0.012442123541539465
40,41,0.012316644571169658
41,42,0.012487948578954846
42,43,0.012323892778820462
43,44,0.012339151688609962
44,45,0.012223289520652205
45,46,0.012495289694655824
46,47,0.012773741847249094
47,48,0.012473805462596592
48,49,0.012366505805402994
49,50,0.01233853834370772
50,51,0.01222266194721063
51,52,0.012517438511605616
52,53,0.012149464856419299
53,54,0.012238570902910497
54,55,0.012163444784366421
55,56,0.012237883397136573
56,57,0.012135215603780967
57,58,0.012130580894235108
58,59,0.012158978023324852
59,60,0.011967643853966837
60,61,0.012066040774462399
61,62,0.012059671769815462
62,63,0.01208637077016411
63,64,0.01194807043713
64,65,0.01188931146774579
65,66,0.011852881646956559
66,67,0.011849682847106899
67,68,0.011832237605833344
68,69,0.011756139790156373
69,70,0.011773588601499796
70,71,0.011753147019556275
71,72,0.011760640992886491
72,73,0.01168127928825992
73,74,0.011728240711683477
74,75,0.011648711006812475
75,76,0.01164450439521008
76,77,0.011599830179302781
77,78,0.011712306575780665
78,79,0.011626015434524527
79,80,0.011726000018555808
80,81,0.011595807210714728
81,82,0.011564523499045107
82,83,0.011531903218753912
83,84,0.011500449661441424
84,85,0.01155176531109545
85,86,0.011444006891300281
86,87,0.01145334959168125
87,88,0.01145776494026736
88,89,0.011458171635038324
89,90,0.011455973368827943
90,91,0.011575375545631957
91,92,0.011569923203852441
92,93,0.01149246581243696
93,94,0.011591706424951553
94,95,0.011705318396842038
95,96,0.011391815125804257
96,97,0.011370071365187565
97,98,0.01138207254310449
98,99,0.011432158622752738
99,100,0.011374691552999947
100,101,0.011599647950519014
101,102,0.011480062165194087
102,103,0.011535108641341881
103,104,0.011295810617782452
104,105,0.011312152362532087
105,106,0.011322794223411215
106,107,0.011376958771574276
107,108,0.011246621781201274
108,109,0.011276331281772366
109,110,0.011198291968968179
110,111,0.011232030233023342
111,112,0.011145966420708983
112,113,0.01119260655509101
113,114,0.011140332884948563
114,115,0.01112264625866104
115,116,0.011137270178921797
116,117,0.011223121459975286
117,118,0.011076155774019382
118,119,0.0111171695990143
119,120,0.011088123889984909
120,121,0.0110232207958621
121,122,0.011049467483880344
122,123,0.01099694644411405
123,124,0.011033915293713411
124,125,0.01102194021007529
125,126,0.010988798923790455
126,127,0.010943835411496737
127,128,0.010916950939982026
128,129,0.010808359917805151
129,130,0.010804585474370807
130,131,0.010777853791498475
131,132,0.010773416091170575
132,133,0.010750581665585438
133,134,0.010744749516662624
134,135,0.010751185749002077
135,136,0.010758292775049253
136,137,0.010839675277195595
137,138,0.010747178750871509
138,139,0.010730684890101353
139,140,0.010680108141429999
140,141,0.010672459706526112
141,142,0.010638811694527114
142,143,0.010692556940571026
143,144,0.010597708091760675
144,145,0.010706325923954998
145,146,0.010671503341722267
146,147,0.01074261668448647
147,148,0.010726561235194956
148,149,0.010583178847338314
149,150,0.01063327734462089
150,151,0.010619731792421252
151,152,0.010625849909114617
152,153,0.010610187684910165
153,154,0.010626874019012408
154,155,0.010552711836579774
155,156,0.01058068117816691
156,157,0.010588429212846138
157,158,0.01095078511301566
158,159,0.01086946124969809
159,160,0.010851320379448158
160,161,0.010681141581800249
161,162,0.010633597426392414
162,163,0.010530811682757404
163,164,0.010550081315967772
164,165,0.010603640883885048
165,166,0.01051946707000887
166,167,0.010501018069960453
167,168,0.010445347400727096
168,169,0.010452769213804492
169,170,0.01048082315052549
170,171,0.01043748975455485
171,172,0.010431548097619304
172,173,0.010431804280314181
173,174,0.01039431887437348
174,175,0.010399959860714498
175,176,0.010413039303212255
176,177,0.010441815411603009
177,178,0.010398099957792848
178,179,0.010392649185464339
179,180,0.010401190051601993
180,181,0.010420236977990027
181,182,0.010387676043642892
182,183,0.010371795717488837
183,184,0.010421693618236869
184,185,0.01046894337223084
185,186,0.010488412739640032
186,187,0.010489787320020023
