,epochs,training losses
0,1,0.013688300529287921
1,2,0.013202938923819197
2,3,0.013184365092052354
3,4,0.013140651552627483
4,5,0.013109166209620458
5,6,0.012996464829753947
6,7,0.012965923037242007
7,8,0.012881676873399152
8,9,0.013146671173335225
9,10,0.013005943537724239
10,11,0.013010317821883492
11,12,0.012963404896220675
12,13,0.013583041831023164
13,14,0.013053105781889625
14,15,0.012841812800616026
15,16,0.013092366305904256
16,17,0.012968177355274006
17,18,0.012866628873679373
18,19,0.013300695560044713
19,20,0.012889428909316106
20,21,0.012747362635477825
21,22,0.012818830743156097
22,23,0.012749821982449956
23,24,0.012779142362652
24,25,0.01295441713322092
25,26,0.012817850474406171
26,27,0.012625904460610063
27,28,0.012678548434956206
28,29,0.012750005435750441
29,30,0.0125254281555061
30,31,0.012929849723284995
31,32,0.012678119647144168
32,33,0.012559406390344655
33,34,0.012780389093138554
34,35,0.012771152649764661
35,36,0.012653464710132943
36,37,0.012518132019236131
37,38,0.01239973998249129
38,39,0.01256523576254646
39,40,0.012651702458107913
40,41,0.012505459685430483
41,42,0.01260156205130948
42,43,0.012342292815446854
43,44,0.012362738502108388
44,45,0.012396937046475985
45,46,0.0124871291530629
46,47,0.012696244788390619
47,48,0.012362419041218582
48,49,0.012290481305508702
49,50,0.012216575823172374
50,51,0.01227718708967721
51,52,0.012159759402964954
52,53,0.01215035257930005
53,54,0.012130099762645032
54,55,0.012112564459029172
55,56,0.012186668416554178
56,57,0.012100744992494583
57,58,0.012049194822018897
58,59,0.012080486173982974
59,60,0.012052927528404526
60,61,0.012176902378322902
61,62,0.012151946727600362
62,63,0.012053064760510568
63,64,0.012033054674113239
64,65,0.012068897899654176
65,66,0.012126481919376939
66,67,0.011938063238092043
67,68,0.011921634052500681
68,69,0.01205459801066253
69,70,0.011988109443336725
70,71,0.012014372757187596
71,72,0.012035830981201597
72,73,0.011931360750976536
73,74,0.011870890855789185
74,75,0.011858328728488198
75,76,0.011786636551497158
76,77,0.01190534896320767
77,78,0.011916769392512462
78,79,0.011772601054636416
79,80,0.011876218883251702
80,81,0.012031817032645145
81,82,0.011891220851490894
82,83,0.012250723938147226
83,84,0.012251545192190894
84,85,0.012053455122643046
85,86,0.011855104472488165
86,87,0.01175268128928211
87,88,0.011814017780125141
88,89,0.011749837202606377
89,90,0.011634835852654997
90,91,0.011692311166337243
91,92,0.01159720041754621
92,93,0.011519358786581843
93,94,0.011724938948949179
94,95,0.011545979435107222
95,96,0.011485077871906536
96,97,0.011465718228094003
97,98,0.01151763704708881
98,99,0.011479246723293155
99,100,0.01148910184080402
100,101,0.011337845758707435
101,102,0.01131720309732137
102,103,0.011258301928777385
103,104,0.01136122364550829
104,105,0.011244544707652595
105,106,0.011410352429030117
106,107,0.011259032016689027
107,108,0.011336046546973564
108,109,0.011263493517482723
109,110,0.01131612198703267
110,111,0.011406325855878767
111,112,0.011337757679737277
112,113,0.011399991965542236
113,114,0.011331838003739162
114,115,0.011207970169683298
115,116,0.01117398800259387
116,117,0.011155761950821788
117,118,0.011149737518280745
118,119,0.011080156114918215
119,120,0.011058473959565163
120,121,0.01110509015550768
121,122,0.011171416345017927
122,123,0.011042588200696089
123,124,0.01114494570841392
124,125,0.011065302537409243
125,126,0.011427530397971472
126,127,0.011134974641242513
127,128,0.011051370745041856
128,129,0.010996831632736657
129,130,0.011014921521698987
130,131,0.010961925145238638
131,132,0.011008732365789238
132,133,0.010898538209773876
133,134,0.010924731570951364
134,135,0.010972469131013862
135,136,0.01104883313248003
136,137,0.01094465875239284
137,138,0.010982030571472866
138,139,0.011149709233669218
139,140,0.011035620786801533
140,141,0.0109450062909336
141,142,0.010886831829945246
142,143,0.010846968240070122
143,144,0.01087694459905227
144,145,0.010832303393356226
145,146,0.010876008550877924
146,147,0.010861373334019273
147,148,0.01091343486957528
148,149,0.01094197659511809
149,150,0.01089001448687028
150,151,0.010834588789967474
151,152,0.010991210152429563
152,153,0.010816410149413126
153,154,0.010784841832463388
154,155,0.010745319934492861
155,156,0.010755552116919446
156,157,0.010756365799655518
157,158,0.010780364947600497
158,159,0.010795005321226738
159,160,0.01071077621438437
160,161,0.010702733519590564
161,162,0.01068377786281484
162,163,0.010709773369685368
163,164,0.010723791792298909
164,165,0.010756001790502557
165,166,0.010667765254361762
166,167,0.01066311691991157
167,168,0.010701097323800679
168,169,0.010636276651725726
169,170,0.010668974421504471
170,171,0.010702998739563756
171,172,0.010718724310949997
172,173,0.01061200179780523
173,174,0.010610710329341667
174,175,0.010592834868778786
175,176,0.01062398859196239
176,177,0.010567806333441425
177,178,0.01057299390366232
178,179,0.010539515789046331
179,180,0.010672471434291866
180,181,0.010642352807163089
181,182,0.010559680975145765
182,183,0.010546516575333145
183,184,0.01059483928191993
184,185,0.010539795461766146
185,186,0.010608678200730571
186,187,0.010542728144813466
187,188,0.010578400455415249
